,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25427350899876916,0.25427350899876916,0.004943430391268845,0.004943430391268845
0,sett_cutoff,,,,,,,,,0.20636486332725737,0.20636486332725737,0.006008573665711296,0.006008573665711296
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1051114983247833,0.37539874265493295,0.004617264537116491,0.00883634649490194
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07996985623298071,0.5406082285590073,0.0035317442005522413,0.007716560178986331
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026520675754942654,0.6933738500448487,0.0028457024720365694,0.011547708300639087
4,sett_model,,,,,,,,,0.01620637108936015,0.01620637108936015,0.002032555282129128,0.002032555282129128
2,sett_exclude_features,,,,,,,,,0.0160137353313805,0.0160137353313805,0.0012649152978896126,0.0012649152978896126
36,sett_model,sett_preprocess_income,,,,,,,,0.015081062997063504,0.035489311776484386,0.002667545838017872,0.004596868886961185
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013957755334195545,0.2844376354223248,0.001622392235521613,0.004353483448470083
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009198292178487597,0.22079051228232754,0.0007074959078361395,0.0062746650801005005
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008719290913985657,0.060438638397609074,0.0013850714869354426,0.007682957733830255
42,sett_preprocess_income,sett_scale,,,,,,,,0.007846242207154791,0.016058620735074632,0.0017459319076801318,0.0030552634174618376
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006548356409882893,0.4161542596828417,0.0007691573657312759,0.007876252076225172
8,sett_stratify_split,,,,,,,,,0.005227356776582566,0.005227356776582566,0.0005587317587123264,0.0005587317587123264
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005119712074735045,0.2274983107333729,0.0009141799806221342,0.006322555516672335
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004555066068560891,0.7479387979395788,0.0007588538090266303,0.008735676415964377
37,sett_model,sett_scale,,,,,,,,0.004373292662125135,0.024590164589344394,0.0005590552663952031,0.002719399954093072
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004319757608334728,0.25379579315374595,0.0007077890921160842,0.006525875715334561
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00422181804021827,0.24951269078222818,0.0012023826648217134,0.007383361663377427
6,sett_preprocess_income,,,,,,,,,0.00420187769006073,0.00420187769006073,0.0008862336125013938,0.0008862336125013938
25,sett_exclude_features,sett_model,,,,,,,,0.004043034194470207,0.036263140615210854,0.0010602663515832363,0.0029717353993869962
7,sett_scale,,,,,,,,,0.004010500837859112,0.004010500837859112,0.0007640232505866878,0.0007640232505866878
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003408049319453767,0.2481248103823097,0.0006113778511111284,0.006495408091332996
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003206287661717842,0.5757069621724886,0.0007314378880908203,0.005791952107880527
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.003132420701440112,0.28808201720153964,0.000671600144906992,0.008915101817895232
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0027928013744128784,0.024033893482375945,0.000544173121928358,0.0016137327101719042
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002672054101016689,0.2300438836195923,0.0009002956535649376,0.00565323543974352
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0026719546067615527,0.2611473412955914,0.0007833985954906985,0.00441785509317215
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0025899883734387145,0.059625012970022505,0.0008148715471662509,0.0056238992560595615
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0025853663566282326,0.042283924377794865,0.0005744614718069822,0.0034488976746018815
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0024477865883526513,0.20904097570797625,0.0005573353122853275,0.006021970454585577
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.002141116531079602,0.26042512636770787,0.0006756225747955777,0.004613555728203331
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0018617348412634928,0.23675924466900605,0.0006701767347306898,0.006180018666033137
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.001848682433070124,0.7952554181290643,0.0004438372312990799,0.006225995558774862
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0018295196902856454,0.6086008562380569,0.00043364660650025447,0.005163465883320992
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0017508169495859093,0.5509412559154756,0.000537421521204613,0.0064641525172743405
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0017412562814431423,0.23261742109397546,0.0003416615645397363,0.006578037642982081
12,sett_cutoff,sett_model,,,,,,,,0.0017283195282079367,0.22429955394482545,0.0006285446274555596,0.005767848312284722
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017265455246243209,0.8398383798718019,0.0004486457119370175,0.005433481732580195
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0017133904687110847,0.4321181745689382,0.0006664512844304645,0.007987444061490082
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0017107358152500963,0.2966732812686388,0.00046381916724686867,0.004620958424168041
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0017083781100602183,0.2122751191273783,0.0005479970204419895,0.005669142969365662
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001590581361991852,0.3832906155100564,0.0005544167892835808,0.008482039879530251
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0015352153906451037,0.26541119693420856,0.0005701075010305756,0.006910062643297301
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015110343953675766,0.6339509738416558,0.0004672894991233035,0.005016236378889303
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0014889432942487017,0.021704556315689932,0.0004653339437903613,0.0014961694816698799
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.001487518039038742,0.2766327189107237,0.0006790863977268438,0.004524164097675686
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.001428465981532409,0.30782099669774304,0.000801668564916125,0.00559557409810166
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0014186193619781145,0.7791896148042318,0.0003539698283770733,0.009352307451028184
35,sett_model,sett_preprocess_age,,,,,,,,0.0014154897318725316,0.018505597610591187,0.0003894396946438018,0.002180335255525118
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0013704992215429973,0.6469577416320635,0.0005174147580951925,0.008702206295835941
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0013232565984576368,0.3394329503026938,0.0006418106545683206,0.009228281655809049
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0013225857727166722,0.5952033790849554,0.0004054224860789563,0.006128640375036254
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0013149711651428604,0.22935537847998816,0.0003782832186376888,0.005692162388711699
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0012718132839650588,0.5843194815920674,0.000351710102469947,0.005730987887581111
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0012499847471738402,0.38501150299317777,0.0007342371202667408,0.007689040917518981
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0012223252322794496,0.4460888626054006,0.0005462200724742321,0.0068920361402376555
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001219000525315,0.7385138384286406,0.0003703953166696537,0.011482795980014017
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.001202154949239571,0.7174386429639537,0.00041288812486161555,0.012439756127948095
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.001170522847127313,0.5693798221634478,0.000502239743810001,0.0049181771441637835
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0011361908847247436,0.018033663005463753,0.0003867055301083911,0.0014898407197788536
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001131197991368098,0.3164193815547313,0.0002837629847098745,0.007824965904240373
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0011283545733995646,0.28736820833628485,0.0004284246533360327,0.004401641213169491
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0011195572345686147,0.8222247805409956,0.00043090263127401786,0.009036551712742067
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0011141913822264383,0.8042082455514832,0.00019564665652721877,0.009390411628983193
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010993600619965075,0.25790288576488607,0.00039402837355407563,0.008046697906307217
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.001067194268271223,0.6221739724778306,0.0003721385588152263,0.006544568184136885
