,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25393691678877994,0.25393691678877994,0.00852906991217383,0.00852906991217383
0,sett_cutoff,,,,,,,,,0.2029351478140485,0.2029351478140485,0.004853484497974836,0.004853484497974836
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11379464058598268,0.38236484374075963,0.005445717679108346,0.011982475830741433
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08090553983036802,0.5377776044331963,0.0054060472092342824,0.013905252814011304
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027325004257930382,0.6976939376585793,0.0031026397531509274,0.019403182179945792
4,sett_model,,,,,,,,,0.015275188448784605,0.015275188448784605,0.0017222853744921322,0.0017222853744921322
2,sett_exclude_features,,,,,,,,,0.014633286365997016,0.014633286365997016,0.001257548026484586,0.001257548026484586
36,sett_model,sett_preprocess_income,,,,,,,,0.014146412420715081,0.03394733147452718,0.0024571785827818557,0.00413187157609364
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01204925947944644,0.281261364717011,0.00203116819228912,0.006785965534479431
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008642870977277908,0.21714971370453706,0.0010571419812487517,0.005524775508947076
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008257508316388516,0.057264317853031155,0.0013342931991489817,0.0057534142634233666
42,sett_preprocess_income,sett_scale,,,,,,,,0.007079746604753661,0.015501377008102151,0.0010383797559115312,0.0020406607629099923
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0064021789972542155,0.4195624516973577,0.0013784866808339085,0.009786242059551739
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005608904848142575,0.7509491778107406,0.0012225653443947028,0.01641343794718218
8,sett_stratify_split,,,,,,,,,0.005571694913210657,0.005571694913210657,0.0008533425634863555,0.0008533425634863555
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005053266979230347,0.24730491955403322,0.0007468641018456441,0.004399254343267688
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004796178251332786,0.24541562569960812,0.0016022175148914114,0.004923075907919038
6,sett_preprocess_income,,,,,,,,,0.004525730605027494,0.004525730605027494,0.00103629862104995,0.00103629862104995
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004163402015472814,0.22173183619551834,0.0007811653270197361,0.005154221778762377
37,sett_model,sett_scale,,,,,,,,0.004083831659040797,0.0232549199061464,0.0007404289790239943,0.002357784894385789
7,sett_scale,,,,,,,,,0.0038958997983209957,0.0038958997983209957,0.0005664976627512197,0.0005664976627512197
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0037835921945924295,0.24240446384666556,0.000822604818519832,0.00574524410678358
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.003621813468803043,0.5704975127296177,0.0008491808650029492,0.011866980385541454
25,sett_exclude_features,sett_model,,,,,,,,0.0034709810311127575,0.03337945584589438,0.0008225737034843908,0.0024329924002809466
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0031833186790768088,0.2828733916937294,0.000724583213931402,0.006790494968631166
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.002978680264935961,0.05709459260132298,0.0013045001161989833,0.005040041229752084
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.002978315738912693,0.040015851634717645,0.0010078085550254223,0.00372029445622482
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0026744695660662144,0.022879450845273888,0.000614247849979991,0.0013194241940206576
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002636023823563349,0.20579705969731893,0.0005759562460283954,0.0049444658338834045
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0023818682311553953,0.2256292629583802,0.0006832184227335332,0.004328601723063318
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002139794778740045,0.26060244217254747,0.0010205348494513762,0.00762076101380868
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002082142655599207,0.7982682654098073,0.000805535787177468,0.015531171137230178
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002064313464750068,0.021223330435774578,0.000553391966862745,0.001297390793501851
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0020446016245697033,0.6024713095310938,0.0007662778923425562,0.010018621818301219
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.001963321260312482,0.2094241996793885,0.0005967238666703347,0.004720301450441044
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.001910517193545463,0.23219571871915384,0.0007253477377067493,0.004880667197042815
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0018588812529540242,0.2271664351697477,0.0006132788547133335,0.005642978704611025
12,sett_cutoff,sett_model,,,,,,,,0.0017736468993871633,0.2199839831622203,0.0005565239737067614,0.004178331804393564
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0016236228153055797,0.6369882112365725,0.0008258040864408951,0.011179918767894533
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0016225807405961061,0.25945539732769707,0.0007203780068613953,0.008276412209269335
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0015752133101593862,0.7828016577513299,0.0004073725689551027,0.014651834663421903
35,sett_model,sett_preprocess_age,,,,,,,,0.0015547884260238933,0.017796858915641704,0.0005750638907421561,0.0022052974654976293
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014623420836297144,0.8433372056898956,0.00048476911938621345,0.013038292914218876
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001455850191698518,0.6279404050234476,0.0005183491472903532,0.008747455734270913
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0014258875515108867,0.25935176908920843,0.0005155980950379171,0.005059568412250196
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0014180505074112204,0.8417822084161347,0.0005681956983612627,0.017096366292503024
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0013992600806182994,0.2252278090956675,0.00036496713162549116,0.004452447929038926
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0013925278726351605,0.5899776681267896,0.00043486790505218063,0.010948110376357628
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0013570594493756596,0.29222073636434454,0.0005356862695895753,0.006765162532649273
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0013516348522016972,0.4331755214625296,0.0006358838975073397,0.009867409672517556
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0012723112753866108,0.7681727119716195,0.0006334421300252256,0.016508446598588467
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0012449000074472652,0.5476513510847236,0.000634884744669669,0.012824193078971985
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001187181064753375,0.44861684550810377,0.00021790748269411202,0.009589242920630896
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0011723542592783102,0.7429880249061402,0.0007754019871862552,0.017816181366486415
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0011364095830534823,0.016736577989883702,0.0005322518195147864,0.0014867859377382345
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0011189871220964437,0.7218820577568439,0.0003432548301925834,0.01896145113266923
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0011128578533313258,0.3031861603748249,0.000487243264585474,0.0058998415058580285
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010904466521333373,0.31204082954928525,0.00042322243491298215,0.0072794934761414715
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0010883021135700732,0.5791561384485268,0.00041845202713747443,0.011120681705842907
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0010697406677369005,0.8088787302757843,0.00040171672292481646,0.015529226005490449
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0010511786616477707,0.03770167529464419,0.0006725058545489104,0.0045655870967179915
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0010397141164369664,0.713481652443332,0.00043020801132232883,0.018494991704559774
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.001037187302854358,0.25694609365675936,0.00037735509374700377,0.005235364933344366
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010323385860866578,0.25388177094403436,0.00033452590309348727,0.005684796170351636
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0010192910361527564,0.6160589506393334,0.0004140337048618726,0.009624535602666852
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.001016508362409665,0.5784297318643753,0.0004687843352813515,0.01160356996350699
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0010047879504696564,0.3313299900539268,0.0005133694885669321,0.007524728662300652
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0010000359186560534,0.5636586756707851,0.0009473105815403659,0.012412407216323954
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009947219056150852,0.38895734248637337,0.00048459616356005353,0.011885719659042249
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0009897316634776292,0.8258335278568418,0.00043197520671961953,0.015377702177817117
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.000989449143067745,0.28399901582860826,0.0005020252224556092,0.006584001072474407
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0009876254484059628,0.2636069841256572,0.0003856456256097607,0.005376478939654138
19,sett_encode_categorical,sett_model,,,,,,,,0.0009826539695585372,0.0164837304780502,0.0003139566474384284,0.00177427591367858
5,sett_preprocess_age,,,,,,,,,0.0009668820408332034,0.0009668820408332034,0.0003543872138799846,0.0003543872138799846
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009397543682930491,0.602043400308027,0.00035923788259016755,0.011076558990297811
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0009393275597331413,0.2710024036498621,0.00036269857542167846,0.005044614310783073
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0009330727804870939,0.7684123817646044,0.0003309611247342202,0.016660517142962718
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0009284873525238017,0.4322213641338498,0.00028521161888912235,0.00923578215382898
363,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.00091167670090268,0.48118978923014755,0.00043247135270021607,0.01085785655680515
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009086131694910485,0.5835453004643079,0.00032552800193115045,0.011724579120039146
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0008994346367526441,0.5535856435008228,0.00045139267671904945,0.01348780827324284
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0008994233584928074,0.39199410594777007,0.0002630475729905599,0.011238871398378984
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0008954826831425135,0.27107162895102543,0.0007652806326436147,0.006403770519368711
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.000865854313583832,0.565689224320219,0.0004001626907232771,0.01244145115506966
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0008609568655382248,0.22543782578309068,0.000266951928695511,0.004989007317256181
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0008583703190920297,0.46609596773176193,0.00020810369221640346,0.008670116427136686
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0008424151601565258,0.2740430844763747,0.0010047968584938486,0.007261437835848932
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0008416138308502221,0.2357348626472944,0.00022410055116181053,0.0047843016631709655
432,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0008139707644449028,0.6493609375667168,0.0002287932072566644,0.008408713617342611
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.000810154900719768,0.243157937715609,0.000263432521896164,0.005015356125227498
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008066292181784588,0.31291877099991794,0.0003118620133336664,0.005536064795608593
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.000803032147883068,0.3921080789083047,0.00037520844854936364,0.01190830630233132
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.0007973885895600802,0.5419765648452908,0.00044569139891831197,0.013643829756642608
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0007953178423621662,0.8875764133057923,0.000161711005726471,0.013021016855927662
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.0007874737754655828,0.03608927748863047,0.00021473339130919934,0.002468976736879947
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0007693634249703878,0.7305476552730771,0.00045469314169805606,0.018674361798573395
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0007655145219158848,0.22146470919603053,0.0005095843524549178,0.005068054702249406
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0007651208952924797,0.2866557709037792,0.00020424179568673834,0.005650862634108985
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0007432748623249419,0.288965072796667,0.00029681455021564936,0.006532475822580721
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0007417410981474285,0.20464377095302916,0.0002596133392467936,0.004787026879169775
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0007279429927868284,0.06861477619028278,0.00023332270194020708,0.0047651341895059455
220,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.000723098207034051,0.42805441328037924,0.0002759176011018468,0.010328629154404701
17,sett_encode_categorical,sett_exclude_features,,,,,,,,0.000713805838004924,0.015572980263708992,0.00024907532926275364,0.001383054122309722
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0007110700075466617,0.25502328396767204,0.0002975502766181298,0.005770320082763554
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0007049787635649469,0.4036556073033938,0.00044761995614910066,0.011069678787072582
240,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0007045530501689226,0.30889983053815007,0.00027913095992529994,0.005870703486213655
38,sett_model,sett_stratify_split,,,,,,,,0.0006946997637353139,0.021541583125730575,0.00019824499322015037,0.00176284014126991
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0006940385403851413,0.2602026502423757,0.0003597260210262273,0.008466438033857519
300,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0006909732007183609,0.29983198424450386,0.0002384534760170812,0.008983872798656048
423,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.00067989125206607,0.7583348261216893,0.0005143396698726961,0.017193730488668714
230,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0006737140598185365,0.0659843287309056,0.0003227667298461844,0.006468359171124506
405,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0006684863765777857,0.6440422107603316,0.0003959051628520273,0.008321387258352853
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.000665074169627551,0.5518959964314833,0.0004183232764205885,0.012522047658335115
255,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,0.0006559165378203747,0.7657568514189469,0.0002062254958823951,0.01520566157882802
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0006507075960564472,0.2245826179934161,0.000251395646245887,0.005516153437944132
427,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.0006304557311993732,0.3358659417702498,0.00016293392978756558,0.008988553846960769
360,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0006182474265528286,0.4615265629104607,0.00021814736593582848,0.010101224581366159
362,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0006167116205693665,0.44380489776670695,0.00022086875400009705,0.009762242077572161
321,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0006053606595797733,0.2753917173337599,0.00014369811711460194,0.006056347648053449
271,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0005956284059368673,0.6137394242747073,0.00028213093667849926,0.00931488805096682
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0005939709050785586,0.5575290634443372,0.0004002167527775892,0.013441731645008743
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.0005914729227223228,0.7223316400054751,0.00021443144397586655,0.01783481542286145
382,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,0.0005825281478890394,0.8185742694779408,0.0001996136524191616,0.01368940682142838
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.000582469407834687,0.28459217020764094,0.0002715828983944478,0.006789661778835705
297,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,0.0005777902568478132,0.7325647801705517,0.00034130059378597314,0.01830834304835912
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0005710032412941049,0.7029822246191905,0.0002896764059622313,0.019083302805195917
384,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,0.0005656088890480811,0.8024000507261875,0.0001262753160477716,0.012895423768004803
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0005558535089197332,0.211870171018901,0.00020848889089940592,0.004737906284749987
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.000549215290362999,0.04286953537926956,0.00021190961774859805,0.00213939992459792
469,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,0.0005423071074427886,0.8733647188327642,0.0002922605974502558,0.011011111107745232
18,sett_encode_categorical,sett_exclude_subgroups,,,,,,,,0.000539659939263964,0.25470246478775094,0.00024920908181232473,0.008382388017666635
489,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,0.0005373783315760019,0.8952192289363948,0.00014832813753128723,0.012952849547380595
273,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0005204088061993362,0.6010022924339891,0.00013892259272293473,0.010056053055713408
261,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_preprocess_income,,,,,0.0005200641323500848,0.2949986451203484,0.0002702765020674902,0.007614439323383799
434,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0005166409420575737,0.666321931818855,0.00019205474895863945,0.009148412174537213
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0005155854550016182,0.5728608745591937,0.00014771545918659763,0.012099984679379509
459,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.000511233834233644,0.48512837732109626,0.00014214755508975627,0.00863896132068728
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0005090010690299533,0.04101587204798572,0.0002312073534385908,0.004168960349891817
141,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,0.000508413915637788,0.2517534551836207,0.000212932898173299,0.005520574607478764
242,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0005038963630643449,0.29367850166185483,0.00018699705457972916,0.006600368219762776
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.00050178325001066,0.5440972168137757,0.0002822705229817533,0.013564582798518746
376,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0005013589357575004,0.3214365436107657,0.0001466955737195746,0.005344910834745553
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0005000151662852164,0.030262654908819284,0.00022631734399328857,0.0013000449524364808
303,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,,,,,0.0004893585460505217,0.3105381647371954,0.00023998844452900769,0.007949383593760767
129,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,,,,,,0.000476572344555584,0.7051295108693636,0.00023431482296603146,0.018829986971766098
143,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,0.0004726070499429941,0.2421232904282704,0.00015479823399687116,0.004972080067631453
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.00046129595241512075,0.5401741891405304,0.00021465030479915931,0.013825371718833164
113,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0004456382692663198,0.2624231227901973,0.00027483380934379694,0.007369560756106964
371,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0004446875671927261,0.07999737368812437,0.00012763883331572734,0.00599817706875492
232,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0004379768140551337,0.05072331193917384,0.0001515527726813023,0.0033770473828851474
226,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.00043548715723169026,0.3959614837854454,0.000267539747180587,0.011658134550265742
421,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,0.00043457034663700643,0.8036104646859291,0.00011799765060352666,0.014667903262682316
389,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,0.0004325781122564728,0.7561167748750968,0.0003512875036890771,0.01630958305011926
185,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00043185747446727705,0.4244205932600679,0.0003713325255985117,0.009374877974457171
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0004201274307458926,0.26758144788437177,0.00015976924934112097,0.007602231039884065
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0004170911342054416,0.5832646824257232,0.00017571948803061079,0.011898742142344541
367,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00041537622814867873,0.4100543962289068,0.00028926030210899874,0.01047814836399329
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0004114057770543253,0.705630963638193,0.00019774526636658654,0.019292760990774222
284,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00040991506477999393,0.2719897535678808,0.00019627936312066087,0.006103926412162513
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.00040700949783063143,0.21949310503673036,0.00018902276261907288,0.005511724281512129
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.00040685165381799926,0.24737084636469012,0.0001933739290562488,0.005667234858720402
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0004057225269321247,0.26263418461376786,0.00013434719083352633,0.005872417500123992
425,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0004022457273155218,0.7655791710647073,0.00016151957226212324,0.017238967998902795
251,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.00039851837273298857,0.045923296337090136,8.860082689144008e-05,0.0045847485561792386
250,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,,,,,,0.00039801968982668964,0.061829708263492926,0.0003476482792381786,0.006189566420962439
224,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0003959767325878274,0.3960174583721334,0.00014741821626058818,0.010847123338192904
227,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0003899187282800766,0.40706835589730817,0.00019269524730965268,0.01108566787605658
429,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,0.0003861471235895765,0.3428608737328518,0.0002193974651337606,0.008105977629564045
431,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,,,,0.0003857094825197468,0.6536627196381345,0.00018227450194371723,0.010082629133478523
201,sett_encode_categorical,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0003839600038709649,0.30676671170566955,0.0001545029207441182,0.005916063415857322
259,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,0.0003821609329676738,0.7310711273831848,0.00011852249100974542,0.018127334771868214
159,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,,,,,,0.0003792373791152517,0.2373652468140542,0.00015210402997844582,0.00486919717316713
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.00037867107620339263,0.22864173428743698,0.00025740935625340183,0.004402295771512337
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0003698046841074603,0.6044898445648519,9.438629490564274e-05,0.010617100999969145
467,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,0.00036514046553806444,0.8338020302931742,0.0001196596550052765,0.012869175414654674
263,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,sett_stratify_split,,,,,0.0003641030451748417,0.28274221235560426,0.0001341426971323574,0.005831796678475576
188,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.00036198435104825886,0.39130385094860215,0.00027054645938044995,0.011612101551613229
